time,load,mises,pe_eff,pe_xx,strain_xx,stress_xx
7.0999999999999,4.76e-05,85.487131782964,3.691410852708e-05,3.691410852708e-05,4.76e-05,85.48713178336
7.1099999999999,4.756e-05,85.167131782964,3.691410852708e-05,3.691410852708e-05,4.756e-05,85.167131783361
7.1199999999999,4.752e-05,84.847131782964,3.691410852708e-05,3.691410852708e-05,4.752e-05,84.847131783361
7.1299999999999,4.748e-05,84.527131782964,3.691410852708e-05,3.691410852708e-05,4.748e-05,84.527131783361
7.1399999999999,4.744e-05,84.207131782964,3.691410852708e-05,3.691410852708e-05,4.744e-05,84.207131783361
7.1499999999999,4.74e-05,83.887131782964,3.691410852708e-05,3.691410852708e-05,4.74e-05,83.887131783361
7.1599999999999,4.736e-05,83.567131782964,3.691410852708e-05,3.691410852708e-05,4.736e-05,83.567131783361
7.1699999999999,4.732e-05,83.247131782964,3.691410852708e-05,3.691410852708e-05,4.732e-05,83.247131783361
7.1799999999999,4.728e-05,82.927131782964,3.691410852708e-05,3.691410852708e-05,4.728e-05,82.927131783361
7.1899999999999,4.724e-05,82.607131782964,3.691410852708e-05,3.691410852708e-05,4.724e-05,82.607131783361
7.1999999999999,4.72e-05,82.287131782964,3.691410852708e-05,3.691410852708e-05,4.72e-05,82.287131783361
7.2099999999999,4.716e-05,81.967131782964,3.691410852708e-05,3.691410852708e-05,4.716e-05,81.967131783361
7.2199999999999,4.712e-05,81.647131782964,3.691410852708e-05,3.691410852708e-05,4.712e-05,81.647131783361
7.2299999999999,4.708e-05,81.327131782964,3.691410852708e-05,3.691410852708e-05,4.708e-05,81.327131783361
7.2399999999999,4.704e-05,81.007131782964,3.691410852708e-05,3.691410852708e-05,4.704e-05,81.007131783361
7.2499999999999,4.7e-05,80.687131782964,3.691410852708e-05,3.691410852708e-05,4.7e-05,80.687131783361
7.2599999999999,4.696e-05,80.367131782964,3.691410852708e-05,3.691410852708e-05,4.696e-05,80.367131783361
7.2699999999999,4.692e-05,80.047131782964,3.691410852708e-05,3.691410852708e-05,4.692e-05,80.047131783361
7.2799999999999,4.688e-05,79.727131782964,3.691410852708e-05,3.691410852708e-05,4.688e-05,79.727131783361
7.2899999999999,4.684e-05,79.407131782964,3.691410852708e-05,3.691410852708e-05,4.684e-05,79.407131783361
7.2999999999999,4.68e-05,79.087131782964,3.691410852708e-05,3.691410852708e-05,4.68e-05,79.087131783361
